Code;Libellé;Libellé ticket de caisse;Famille;Marque;Prix d'achat HT;Prix de vente HT;Tva;Prix de vente TTC;Quantité;Poids (Kg);Unité;Désignation;Observations;Quantité d'Alerte
ART0422;HAWAI ANANAS MAROC 24X0.25L;;BOISSON;;15.0000;14.7500;6.0000;15.6350;0;;;HAWAI ANANAS MAROC 24X0.25L;;
ART0425;HAWAI TROPICAL MAROC 24X0.25L;;BOISSON;;15.0000;14.8000;6.0000;15.6880;0;;;HAWAI TROPICAL MAROC 24X0.25L;;
ART0461;PERRIER 24 x 0.33L;;BOISSON;;15.0000;15.0000;6.0000;15.9000;0;;;PERRIER 24 x 0.33L;;
ART0469;POMS MAROC 24X0.25L;;BOISSON;;15.0000;14.3000;6.0000;15.1580;0;;;POMS MAROC 24X0.25L;;
ART0473;ROSTOY BOC. ORANGE 24X0.20L;;BOISSON;;15.0000;15.0000;6.0000;15.9000;0;;;ROSTOY BOC. ORANGE 24X0.20L;;
ART0474;ROSTOY MANGO BOC. 24X0.20L;;BOISSON;;15.0000;15.0000;6.0000;15.9000;0;;;ROSTOY MANGO BOC. 24X0.20L;;
ART0485;SCHWEPPES TONIC 24 X0.33L;;BOISSON;;15.0000;14.1100;6.0000;14.9566;0;;;SCHWEPPES TONIC 24 X0.33L;;
ART0383;CASSE PAPIER 25/30H 10KG;;EMBALLAGE;;14.5000;16.7000;21.0000;20.2100;0;;;CASSE PAPIER 25/30H 10KG;;
ART0384;CASSE PAPIER 30/40C 10KG;;EMBALLAGE;;14.5000;16.7000;21.0000;20.2070;0;;;CASSE PAPIER 30/40C 10KG;;
ART0385;CASSE PAPIER 45/50C 10KG;;EMBALLAGE;;14.5000;16.7000;21.0000;20.2070;0;;;CASSE PAPIER 45/50C 10KG;;
ART0407;FANTA ORANGE 24X0.33L;;BOISSON;;14.5000;16.7000;6.0000;17.7000;0;;;FANTA ORANGE 24X0.33L;;
ART0433;ICE TEA PEACH 24X0.33L;;BOISSON;;14.5000;14.5000;6.0000;15.3700;0;;;ICE TEA PEACH 24X0.33L;;
ART0374;BOULETTE HALAL 24X140GR OZFOOD VAN REUSEL;;SNACK;;14.3000;16.4000;6.0000;17.3800;0;;;BOULETTE HALAL 24X140GR OZFOOD VAN REUSEL;;
ART0483;SCHWEPPES LEMON 24 x 0.33L;;BOISSON;;14.3000;14.5000;6.0000;15.3700;0;;;SCHWEPPES LEMON 24 x 0.33L;;
ART0484;SCHWEPPES MOJITO 24 x 0.33L;;BOISSON;;14.3000;14.5000;6.0000;15.3700;0;;;SCHWEPPES MOJITO 24 x 0.33L;;
ART0392;COCA COLA REG.CHERRY 24X0.33L;;BOISSON;;14.0000;14.8000;6.0000;15.6880;0;;;COCA COLA REG.CHERRY 24X0.33L;;
ART0440;LOOZA ACE 24 x 0.2L;;BOISSON;;14.0000;16.1000;6.0000;17.0700;0;;;LOOZA ACE 24 x 0.2L;;
ART0441;LOOZA FRAISE 24 x 0.2L;;BOISSON;;14.0000;16.1000;6.0000;17.0700;0;;;LOOZA FRAISE 24 x 0.2L;;
ART0442;LOOZA MANGO 24 x 0.2L;;BOISSON;;14.0000;16.1000;6.0000;17.0700;0;;;LOOZA MANGO 24 x 0.2L;;
ART0443;LOOZA PEACH 24 x 0.2L;;BOISSON;;14.0000;16.1000;6.0000;17.0700;0;;;LOOZA PEACH 24 x 0.2L;;
ART0462;PERRIER 24 x 0.5L;;BOISSON;;14.0000;14.8000;6.0000;15.6880;0;;;PERRIER 24 x 0.5L;;
ART0480;SALAD KRAFT 1300ML 300ST/DS COMBI;;EMBALLAGE;;14.0000;16.1000;21.0000;19.4800;0;;;SALAD KRAFT 1300ML 300ST/DS COMBI;;
ART0482;SCHWEPPES AGRUMES 24 x 0.33L;;BOISSON;;14.0000;14.5000;6.0000;15.3700;0;;;SCHWEPPES AGRUMES 24 x 0.33L;;
ART0487;SERVETTEN WIT 1LG 9 PACK;;EMBALLAGE;;14.0000;16.1000;21.0000;19.4800;0;;;SERVETTEN WIT 1LG 9 PACK;;
